transport_id;date;country_from;postal_from;city_from;country_to;postal_to;city_to;distance_km;transport_type;weight_kg;pallets;loading_meters;price;currency;adr;refrigerated;ramp
1;2026-04-02;SI;1000;Ljubljana;DE;13053;Berlin;1009;FTL;10000;34;13.6;1500;EUR;0;0;0
2;2026-01-08;SI;1000;Ljubljana;DE;25797;Wöhrden;1407;LTL;700;4;1.6;380;EUR;0;0;0
3;2026-01-28;SI;1000;Ljubljana;DE;56567;Neuwied;931;LTL;350;1;0.4;150;EUR;0;0;0
4;2026-02-19;SI;1000;Ljubljana;DE;25797;Wöhrden;1407;LTL;190;1;0.4;150;EUR;0;0;0
5;2026-02-27;SI;1000;Ljubljana;DE;13053;Berlin;1009;LTL;300;1;0.4;150;EUR;0;0;0
6;2026-02-13;SI;1000;Ljubljana;DE;97990;Weikersheim;694;LTL;98;1;0.4;140;EUR;0;0;0
7;2026-03-19;DE;13053;Berlin;SI;1000;Ljubljana;1009;LTL;495;7;2.8;700;EUR;0;0;0
8;2026-03-25;NL;5739;AE Mariahout;SI;1000;Ljubljana;1132;LTL;200;2;0.8;200;EUR;0;0;0
9;2026-05-07;SI;1000;Ljubljana;PL;20-325;Lublin;1190;LTL;80;1;0.4;330;EUR;0;0;0
10;2026-05-08;DE;16515;Oranienburg;SI;1000;Ljubljana;1040;LTL;4500;10;4;660;EUR;0;0;1
11;2026-04-15;DE;16515;Oranienburg;SI;1000;Ljubljana;1040;LTL;2600;6;2.4;500;EUR;0;0;1
12;2026-02-05;SI;1000;Ljubljana;GR;54015;Solun;1160;LTL;150;1;0.4;220;EUR;0;0;0
13;2026-02-16;SI;1000;Ljubljana;HR;10000;Zagreb;143;LTL;90;1;0.4;100;EUR;0;0;0
14;2026-02-16;SI;1000;Ljubljana;HR;10000;Zagreb;143;LTL;221;2;0.8;145;EUR;0;0;0
15;2026-02-16;SI;1000;Ljubljana;HR;10000;Zagreb;143;LTL;700;3;1.2;220;EUR;0;0;0
16;2026-02-16;SI;1000;Ljubljana;HR;10000;Zagreb;143;LTL;30;0.5;0.2;55;EUR;0;0;0
17;2026-05-07;IT;25070;Casto;SI;1240;Kamnik;461;LTL;1766;4;1.6;300;EUR;0;0;0
18;2026-03-16;IT;25070;Casto;SI;1240;Kamnik;461;LTL;825;2;0.8;250;EUR;0;0;0
19;2026-01-09;SI;1240;Kamnik;HR;40323;Prelog;230;LTL;1557;3;1.2;170;EUR;0;0;0
20;2026-02-23;HR;10000;Zagreb;SI;6250;Ilirska Bistrica;199;FTL;3000;18;7.2;400;EUR;0;0;1
21;31.02.2026;HR;10000;Zagreb;SI;6250;Ilirska Bistrica;199;FTL;3000;18;7.2;450;EUR;0;0;1
22;2026-04-09;HR;10000;Zagreb;SI;6250;Ilirska Bistrica;199;FTL;6000;34;13.6;350;EUR;0;0;0
23;2026-02-26;HR;10000;Zagreb;SI;6250;Ilirska Bistrica;199;LTL;600;7;2.8;200;EUR;0;0;0
24;1930-03-10;IT;11027;Saint Vincento;SI;6250;Ilirska Bistrica;614;FTL;6000;34;13.6;900;EUR;0;0;0
25;2026-02-25;IT;30030;Marcon Venezia;SI;6250;Ilirska Bistrica;187;FTL;5000;34;13.6;400;EUR;0;0;0
26;2026-03-30;SI;1241;Kamnik;HU;7773;Villany;477;LTL;135;1;0.4;150;EUR;0;0;0
27;2026-01-26;DE;63110;Rodgau;SI;1000;Ljubljana;786;LTL;150;0.5;0.2;120;EUR;0;0;0
28;2026-03-03;DE;63110;Rodgau;SI;1000;Ljubljana;786;LTL;800;5;2;400;EUR;0;0;0
29;2026-01-26;DE;63110;Rodgau;SI;1000;Ljubljana;786;LTL;1600;4;1.6;330;EUR;0;0;0
30;2026-04-20;IT;21020;Brunello;SI;1000;Ljubljana;538;LTL;1350;9;2.5;350;EUR;0;0;0
31;2026-04-20;PL;43-502;Bronów;SI;1290;Grosuplje;750;LTL;115;1;0.4;170;EUR;0;0;0
32;2026-03-03;CZ;756 61;Rožnov pod Radhoštěm;SI;1290;Grosuplje;668;LTL;405;4;1.6;190;EUR;0;0;0
33;2026-05-04;DE;56203;Höhr-Grenzhausen-Grenzau;SI;1290;Grosuplje;923;LTL;971;1;0.4;350;EUR;0;0;0
34;2026-04-21;SI;1290;Grosuplje;BE;9971;Lembeke;1269;LTL;400;5;2.4;450;EUR;0;0;0
35;2026-03-12;IT;37060;Settimo di Gallese;SI;1290;Grosuplje;365;LTL;150;1;0.6;150;EUR;0;0;0
36;2026-04-20;IT;33170;Pordenone;SI;1290;Grosuplje;210;LTL;600;2;0.8;170;EUR;0;0;0
37;2026-04-21;CZ;756 61;Rožnov pod Radhoštěm;SI;1290;Grosuplje;668;LTL;65;1;0.4;150;EUR;0;0;0
38;2026-04-21;DE;39240;Calbe;SI;1290;Grosuplje;927;LTL;1450;4;1.6;340;EUR;0;0;0
39;2026-03-10;SI;1290;Grosuplje;BE;9971;Lembeke;1269;LTL;1000;8;2.9;650;EUR;0;0;0
40;2026-03-17;DE;39240;Calbe;SI;1290;Grosuplje;927;LTL;1460;4;1.6;340;EUR;0;0;0
41;2026-01-26;DE;82538;Geretsried;SI;1000;Ljubljana;424;LTL;200;1;0.4;130;EUR;0;0;0
42;2026-02-19;DE;82538;Geretsried;SI;1000;Ljubljana;424;LTL;300;3;1.2;200;EUR;0;0;0
43;2026-03-09;SI;1000;Ljubljana;SI;8000;Novo Mesto;90;FTL;3000;17;7.2;150;EUR;0;0;1
44;2026-03-16;DE;8606;Mühlental;SI;4000;Kranj;710;LTL;220;2;1.4;280;EUR;0;0;0
45;2026-04-29;DE;8606;Mühlental;SI;1000;Ljubljana;710;LTL;1342;4;2.6;520;EUR;0;0;0
46;2026-04-01;HU;2800;Tatabánya;SI;1000;Ljubljana;453;GROUPAGE;200;1;0.5;100;EUR;0;0;0
47;2026-02-23;SI;1000;Ljubljana;AT;1230;Wien;380;FTL;23000;29;13.6;650;EUR;0;0;0
48;2026-04-17;IT;27058;Voghera;SI;8270;Krško;634;LTL;626;1;0.4;220;EUR;0;0;0
49;2026-03-23;IT;24040;Verdellino;SI;1236;Trzin;474;LTL;5000;4;2;240;EUR;0;0;0
50;2026-01-21;IT;24040;Verdellino;SI;1236;Trzin;474;LTL;2500;2;1;250;EUR;0;0;0
51;2026-01-08;ES;8192;Sant Quirze de Vallès  ;SI;1000;Ljubljana;1459;LTL;130;1;0.4;220;EUR;0;0;1
52;2026-01-08;ES;8192;Sant Quirze de Vallès  ;SI;1000;Ljubljana;1459;LTL;1300;11;4;700;EUR;0;0;1
53;2026-01-08;ES;8192;Sant Quirze de Vallès  ;SI;1000;Ljubljana;1459;LTL;300;2;0.8;300;EUR;0;0;1
54;2026-02-26;SI;1218;Moste pri Komendi;HR;10000;Zagreb;162;LTL;1500;8;3.2;150;EUR;0;0;0
55;2026-02-18;SI;1000;Ljubljana;XS;11070;Belgrade;525;LTL;30;1;0.2;100;EUR;0;0;0
56;2026-02-16;DE;35452;Heuchelheim;SI;1000;Ljubljana;869;LTL;30;1;0.2;100;EUR;0;0;0
57;2026-05-04;FR;77290;Mitry Mory;SI;1000;Ljubljana;1249;LTL;40;1;0.2;200;EUR;0;0;0
58;2026-04-28;SI;1232;Domžale;SI;1000;Ljubljana;23;LTL;200;1;0.4;60;EUR;0;0;1
59;2026-04-28;FR;77290;Mitry Mory;SI;1000;Ljubljana;1249;LTL;46;1;0.2;180;EUR;0;0;0
60;2026-04-24;DE;65553;Limburg;SI;1230;Domžale;869;LTL;200;1;0.4;150;EUR;0;0;0
61;2026-04-24;PL;44-300;Wodzisław Śląski;SI;3210;Slovenske Konjice;610;LTL;216;2;0.5;250;EUR;0;0;0
62;2026-04-23;IT;80025;Casandrino ;SI;1412;Kisovec;1000;LTL;50;1;0.2;300;EUR;0;0;0
63;2026-04-21;PL;44-300;Wodzisław Śląski;SI;3210;Slovenske Konjice;610;LTL;175;1;0.3;220;EUR;0;0;0
64;2026-04-13;FR;77290;Mitry Mory;SI;1000;Ljubljana;1249;LTL;30;1;0.1;140;EUR;0;0;0
65;2026-04-08;IT;80025;Casandrino ;SI;1000;Ljubljana;948;LTL;700;1;0.9;300;EUR;0;0;0
66;2026-04-01;PL;44-300;Wodzisław Śląski;SI;3210;Slovenske Konjice;610;GROUPAGE;324;3;0.6;195;EUR;0;0;0
67;2026-03-19;DE;31789;Hameln;SI;1000;Ljubljana;1014;LTL;35;1;0.2;110;EUR;0;0;0
68;2026-03-09;SE;931 92;Skellefteå;SI;1000;Ljubljana;2811;LTL;143;1;0.4;650;EUR;0;0;0
69;2026-03-06;SI;1000;Ljubljana;SI;1234;Mengeš;27;LTL;236;1;0.5;50;EUR;0;0;0
70;2026-03-05;DE;41352;Korschenbroich;SI;2000;Maribor;1009;LTL;123;1;0.3;120;EUR;0;0;0
71;2026-02-25;IT;42016;San Giacomo di guastalla re;SI;1000;Ljubljana;414;LTL;236;1;0.5;110;EUR;0;0;0
72;2026-02-25;IT;37060;Bonferraro di sorga;SI;1000;Ljubljana;367;LTL;56;1;0.2;110;EUR;0;0;0
73;2026-01-13;IT;31025;Santa Lucia di piave;SI;1000;Ljubljana;226;LTL;110;1;0.2;140;EUR;0;0;1
74;2026-03-12;SI;3220;Štore;IT;20010;Boffaloro Ticino;605;LTL;1257;3;1.2;200;EUR;0;0;0
75;2026-03-19;SI;3220;Štore;DE;32689;Kalletal;1066;LTL;6000;8;11.2;1450;EUR;0;0;0
76;2026-02-10;DE;9603;Großschirma;SI;3210;Slovenske Konjice;746;LTL;2410;3;2.1;350;EUR;0;0;0
77;2026-02-05;HR;10290;Zaprešić;SI;9220;Lendava;168;LTL;4500;7;2.8;200;EUR;0;0;0
78;2026-02-12;SI;5270;Ajdovšćina;XS;21131;Petrovaradin;591;LTL;100;1;0.2;200;EUR;0;0;0
79;2026-05-08;DE;16515;Oranienburg;SI;1000;Ljubljana;1027;LTL;4500;10;4;660;EUR;0;0;1
80;2026-04-15;DE;16515;Oranienburg;SI;1000;Ljubljana;1027;LTL;2700;6;2.4;500;EUR;0;0;1
81;2026-03-06;DE;16515;Oranienburg;SI;1000;Ljubljana;1027;LTL;450;1;0.4;275;EUR;0;0;1
